time_ms,rr_ms,rr_s,hr_bpm
708.984,400.391,0.400391,149.85
1111.328,402.344,0.402344,149.13
1517.578,406.25,0.40625,147.69
1925.781,408.203,0.408203,146.99
2333.984,408.203,0.408203,146.99
2746.094,412.109,0.412109,145.59
3160.156,414.062,0.414062,144.91
3576.172,416.016,0.416016,144.23
3990.234,414.062,0.414062,144.91
4417.969,427.734,0.427734,140.27
4837.891,419.922,0.419922,142.88
5251.953,414.062,0.414062,144.91
5673.828,421.875,0.421875,142.22
6097.656,423.828,0.423828,141.57
6513.672,416.016,0.416016,144.23
6943.359,429.688,0.429688,139.64
7359.375,416.016,0.416016,144.23
7775.391,416.016,0.416016,144.23
8201.172,425.781,0.425781,140.92
8623.047,421.875,0.421875,142.22
9048.828,425.781,0.425781,140.92
9478.516,429.688,0.429688,139.64
9896.484,417.969,0.417969,143.55
10328.125,431.641,0.431641,139.0
10765.625,437.5,0.4375,137.14
11195.312,429.688,0.429688,139.64
11619.141,423.828,0.423828,141.57
12054.688,435.547,0.435547,137.76
12484.375,429.688,0.429688,139.64
12912.109,427.734,0.427734,140.27
13343.75,431.641,0.431641,139.0
13783.203,439.453,0.439453,136.53
14222.656,439.453,0.439453,136.53
14671.875,449.219,0.449219,133.57
15117.188,445.312,0.445312,134.74
15558.594,441.406,0.441406,135.93
16005.859,447.266,0.447266,134.15
16460.938,455.078,0.455078,131.85
16917.969,457.031,0.457031,131.28
17371.094,453.125,0.453125,132.41
17828.125,457.031,0.457031,131.28
18291.016,462.891,0.462891,129.62
18746.094,455.078,0.455078,131.85
19199.219,453.125,0.453125,132.41
19646.484,447.266,0.447266,134.15
20091.797,445.312,0.445312,134.74
20539.062,447.266,0.447266,134.15
20972.656,433.594,0.433594,138.38
21414.062,441.406,0.441406,135.93
21853.516,439.453,0.439453,136.53
22304.688,451.172,0.451172,132.99
22757.812,453.125,0.453125,132.41
23207.031,449.219,0.449219,133.57
23671.875,464.844,0.464844,129.08
24134.766,462.891,0.462891,129.62
24605.469,470.703,0.470703,127.47
25087.891,482.422,0.482422,124.37
25566.406,478.516,0.478516,125.39
