time_ms,rr_ms,rr_s,hr_bpm
781.25,412.109,0.412109,145.59
1197.266,416.016,0.416016,144.23
1617.188,419.922,0.419922,142.88
2037.109,419.922,0.419922,142.88
2464.844,427.734,0.427734,140.27
2888.672,423.828,0.423828,141.57
3316.406,427.734,0.427734,140.27
3742.188,425.781,0.425781,140.92
4175.781,433.594,0.433594,138.38
4597.656,421.875,0.421875,142.22
5027.344,429.688,0.429688,139.64
5455.078,427.734,0.427734,140.27
5880.859,425.781,0.425781,140.92
6308.594,427.734,0.427734,140.27
6740.234,431.641,0.431641,139.0
7162.109,421.875,0.421875,142.22
7599.609,437.5,0.4375,137.14
8021.484,421.875,0.421875,142.22
8453.125,431.641,0.431641,139.0
8873.047,419.922,0.419922,142.88
9304.688,431.641,0.431641,139.0
9722.656,417.969,0.417969,143.55
10150.391,427.734,0.427734,140.27
10576.172,425.781,0.425781,140.92
10996.094,419.922,0.419922,142.88
11427.734,431.641,0.431641,139.0
12285.156,857.422,0.857422,69.98
12716.797,431.641,0.431641,139.0
13150.391,433.594,0.433594,138.38
13572.266,421.875,0.421875,142.22
14000.0,427.734,0.427734,140.27
14425.781,425.781,0.425781,140.92
14841.797,416.016,0.416016,144.23
15263.672,421.875,0.421875,142.22
15687.5,423.828,0.423828,141.57
16099.609,412.109,0.412109,145.59
16513.672,414.062,0.414062,144.91
16933.594,419.922,0.419922,142.88
17355.469,421.875,0.421875,142.22
17769.531,414.062,0.414062,144.91
18173.828,404.297,0.404297,148.41
18593.75,419.922,0.419922,142.88
19001.953,408.203,0.408203,146.99
19416.016,414.062,0.414062,144.91
19833.984,417.969,0.417969,143.55
20242.188,408.203,0.408203,146.99
20648.438,406.25,0.40625,147.69
21060.547,412.109,0.412109,145.59
21468.75,408.203,0.408203,146.99
21873.047,404.297,0.404297,148.41
22281.25,408.203,0.408203,146.99
22699.219,417.969,0.417969,143.55
23111.328,412.109,0.412109,145.59
23521.484,410.156,0.410156,146.29
23937.5,416.016,0.416016,144.23
24345.703,408.203,0.408203,146.99
24753.906,408.203,0.408203,146.99
25167.969,414.062,0.414062,144.91
25576.172,408.203,0.408203,146.99
25978.516,402.344,0.402344,149.13
26384.766,406.25,0.40625,147.69
26794.922,410.156,0.410156,146.29
28015.625,1220.703,1.220703,49.15
28806.641,791.016,0.791016,75.85
29208.984,402.344,0.402344,149.13
29613.281,404.297,0.404297,148.41
30007.812,394.531,0.394531,152.08
30398.438,390.625,0.390625,153.6
30789.062,390.625,0.390625,153.6
31189.453,400.391,0.400391,149.85
31587.891,398.438,0.398438,150.59
31978.516,390.625,0.390625,153.6
32384.766,406.25,0.40625,147.69
32785.156,400.391,0.400391,149.85
33177.734,392.578,0.392578,152.84
33576.172,398.438,0.398438,150.59
33976.562,400.391,0.400391,149.85
