time_ms,rr_ms,rr_s,hr_bpm
1015.625,613.281,0.613281,97.83
1623.047,607.422,0.607422,98.78
2224.609,601.562,0.601562,99.74
2798.828,574.219,0.574219,104.49
3357.422,558.594,0.558594,107.41
3894.531,537.109,0.537109,111.71
4419.922,525.391,0.525391,114.2
4933.594,513.672,0.513672,116.81
5445.312,511.719,0.511719,117.25
5945.312,500.0,0.5,120.0
6439.453,494.141,0.494141,121.42
6945.312,505.859,0.505859,118.61
7466.797,521.484,0.521484,115.06
8013.672,546.875,0.546875,109.71
8562.5,548.828,0.548828,109.32
9123.047,560.547,0.560547,107.04
9671.875,548.828,0.548828,109.32
10216.797,544.922,0.544922,110.11
10759.766,542.969,0.542969,110.5
11316.406,556.641,0.556641,107.79
11869.141,552.734,0.552734,108.55
12433.594,564.453,0.564453,106.3
12996.094,562.5,0.5625,106.67
13550.781,554.688,0.554688,108.17
14095.703,544.922,0.544922,110.11
14660.156,564.453,0.564453,106.3
15210.938,550.781,0.550781,108.94
15763.672,552.734,0.552734,108.55
16314.453,550.781,0.550781,108.94
16859.375,544.922,0.544922,110.11
17412.109,552.734,0.552734,108.55
17949.219,537.109,0.537109,111.71
18492.188,542.969,0.542969,110.5
19029.297,537.109,0.537109,111.71
19572.266,542.969,0.542969,110.5
20113.281,541.016,0.541016,110.9
20650.391,537.109,0.537109,111.71
21187.5,537.109,0.537109,111.71
21718.75,531.25,0.53125,112.94
22250.0,531.25,0.53125,112.94
22785.156,535.156,0.535156,112.12
23324.219,539.062,0.539062,111.3
23867.188,542.969,0.542969,110.5
24404.297,537.109,0.537109,111.71
24951.172,546.875,0.546875,109.71
25490.234,539.062,0.539062,111.3
26027.344,537.109,0.537109,111.71
26560.547,533.203,0.533203,112.53
27105.469,544.922,0.544922,110.11
27640.625,535.156,0.535156,112.12
28177.734,537.109,0.537109,111.71
28714.844,537.109,0.537109,111.71
29248.047,533.203,0.533203,112.53
29767.578,519.531,0.519531,115.49
30283.203,515.625,0.515625,116.36
30800.781,517.578,0.517578,115.92
