time_ms,rr_ms,rr_s,hr_bpm
1166.016,503.906,0.503906,119.07
1675.781,509.766,0.509766,117.7
2199.219,523.438,0.523438,114.63
2669.922,470.703,0.470703,127.47
3169.922,500.0,0.5,120.0
3640.625,470.703,0.470703,127.47
4109.375,468.75,0.46875,128.0
4589.844,480.469,0.480469,124.88
5080.078,490.234,0.490234,122.39
5513.672,433.594,0.433594,138.38
5992.188,478.516,0.478516,125.39
6496.094,503.906,0.503906,119.07
7001.953,505.859,0.505859,118.61
7498.047,496.094,0.496094,120.94
7960.938,462.891,0.462891,129.62
8429.688,468.75,0.46875,128.0
8896.484,466.797,0.466797,128.54
9361.328,464.844,0.464844,129.08
9843.75,482.422,0.482422,124.37
10281.25,437.5,0.4375,137.14
10742.188,460.938,0.460938,130.17
11187.5,445.312,0.445312,134.74
11636.719,449.219,0.449219,133.57
12066.406,429.688,0.429688,139.64
12496.094,429.688,0.429688,139.64
12947.266,451.172,0.451172,132.99
13439.453,492.188,0.492188,121.9
13931.641,492.188,0.492188,121.9
14445.312,513.672,0.513672,116.81
14933.594,488.281,0.488281,122.88
15417.969,484.375,0.484375,123.87
15917.969,500.0,0.5,120.0
16468.75,550.781,0.550781,108.94
17015.625,546.875,0.546875,109.71
17562.5,546.875,0.546875,109.71
18099.609,537.109,0.537109,111.71
18630.859,531.25,0.53125,112.94
19156.25,525.391,0.525391,114.2
19607.422,451.172,0.451172,132.99
20078.125,470.703,0.470703,127.47
20533.203,455.078,0.455078,131.85
20984.375,451.172,0.451172,132.99
21443.359,458.984,0.458984,130.72
21886.719,443.359,0.443359,135.33
22322.266,435.547,0.435547,137.76
22755.859,433.594,0.433594,138.38
23173.828,417.969,0.417969,143.55
23640.625,466.797,0.466797,128.54
24113.281,472.656,0.472656,126.94
24589.844,476.562,0.476562,125.9
25089.844,500.0,0.5,120.0
25603.516,513.672,0.513672,116.81
26099.609,496.094,0.496094,120.94
26630.859,531.25,0.53125,112.94
27166.016,535.156,0.535156,112.12
27697.266,531.25,0.53125,112.94
28242.188,544.922,0.544922,110.11
28800.781,558.594,0.558594,107.41
29298.828,498.047,0.498047,120.47
29814.453,515.625,0.515625,116.36
30310.547,496.094,0.496094,120.94
30785.156,474.609,0.474609,126.42
31242.188,457.031,0.457031,131.28
31685.547,443.359,0.443359,135.33
32128.906,443.359,0.443359,135.33
32558.594,429.688,0.429688,139.64
33023.438,464.844,0.464844,129.08
33505.859,482.422,0.482422,124.37
34001.953,496.094,0.496094,120.94
34505.859,503.906,0.503906,119.07
35103.516,597.656,0.597656,100.39
35757.812,654.297,0.654297,91.7
36388.672,630.859,0.630859,95.11
37050.781,662.109,0.662109,90.62
37695.312,644.531,0.644531,93.09
38363.281,667.969,0.667969,89.82
38988.281,625.0,0.625,96.0
39601.562,613.281,0.613281,97.83
40148.438,546.875,0.546875,109.71
40681.641,533.203,0.533203,112.53
41179.688,498.047,0.498047,120.47
41662.109,482.422,0.482422,124.37
42150.391,488.281,0.488281,122.88
42658.203,507.812,0.507812,118.15
43146.484,488.281,0.488281,122.88
43646.484,500.0,0.5,120.0
44132.812,486.328,0.486328,123.37
44617.188,484.375,0.484375,123.87
45148.438,531.25,0.53125,112.94
45660.156,511.719,0.511719,117.25
46140.625,480.469,0.480469,124.88
46615.234,474.609,0.474609,126.42
47072.266,457.031,0.457031,131.28
47558.594,486.328,0.486328,123.37
48041.016,482.422,0.482422,124.37
48525.391,484.375,0.484375,123.87
49007.812,482.422,0.482422,124.37
49488.281,480.469,0.480469,124.88
50021.484,533.203,0.533203,112.53
50501.953,480.469,0.480469,124.88
50970.703,468.75,0.46875,128.0
51414.062,443.359,0.443359,135.33
51910.156,496.094,0.496094,120.94
52406.25,496.094,0.496094,120.94
52876.953,470.703,0.470703,127.47
53361.328,484.375,0.484375,123.87
53902.344,541.016,0.541016,110.9
54453.125,550.781,0.550781,108.94
55017.578,564.453,0.564453,106.3
55601.562,583.984,0.583984,102.74
56166.016,564.453,0.564453,106.3
56720.703,554.688,0.554688,108.17
57259.766,539.062,0.539062,111.3
57773.438,513.672,0.513672,116.81
58277.344,503.906,0.503906,119.07
58769.531,492.188,0.492188,121.9
59257.812,488.281,0.488281,122.88
59750.0,492.188,0.492188,121.9
60234.375,484.375,0.484375,123.87
60705.078,470.703,0.470703,127.47
61189.453,484.375,0.484375,123.87
61675.781,486.328,0.486328,123.37
62146.484,470.703,0.470703,127.47
62621.094,474.609,0.474609,126.42
63115.234,494.141,0.494141,121.42
63617.188,501.953,0.501953,119.53
64136.719,519.531,0.519531,115.49
