time_ms,rr_ms,rr_s,hr_bpm
865.234,488.281,0.488281,122.88
1203.125,337.891,0.337891,177.57
1894.531,691.406,0.691406,86.78
2384.766,490.234,0.490234,122.39
2781.25,396.484,0.396484,151.33
3353.516,572.266,0.572266,104.85
3847.656,494.141,0.494141,121.42
4343.75,496.094,0.496094,120.94
4820.312,476.562,0.476562,125.9
5294.922,474.609,0.474609,126.42
6191.406,896.484,0.896484,66.93
6644.531,453.125,0.453125,132.41
7095.703,451.172,0.451172,132.99
7546.875,451.172,0.451172,132.99
7990.234,443.359,0.443359,135.33
8431.641,441.406,0.441406,135.93
8875.0,443.359,0.443359,135.33
9316.406,441.406,0.441406,135.93
9759.766,443.359,0.443359,135.33
10201.172,441.406,0.441406,135.93
10642.578,441.406,0.441406,135.93
11136.719,494.141,0.494141,121.42
11927.734,791.016,0.791016,75.85
12380.859,453.125,0.453125,132.41
12822.266,441.406,0.441406,135.93
13263.672,441.406,0.441406,135.93
13695.312,431.641,0.431641,139.0
14125.0,429.688,0.429688,139.64
14566.406,441.406,0.441406,135.93
15003.906,437.5,0.4375,137.14
15738.281,734.375,0.734375,81.7
16343.75,605.469,0.605469,99.1
17193.359,849.609,0.849609,70.62
18308.594,1115.234,1.115234,53.8
18769.531,460.938,0.460938,130.17
19357.422,587.891,0.587891,102.06
19791.016,433.594,0.433594,138.38
20234.375,443.359,0.443359,135.33
21105.469,871.094,0.871094,68.88
21943.359,837.891,0.837891,71.61
22357.422,414.062,0.414062,144.91
22765.625,408.203,0.408203,146.99
23693.359,927.734,0.927734,64.67
24519.531,826.172,0.826172,72.62
24957.031,437.5,0.4375,137.14
25531.25,574.219,0.574219,104.49
25916.016,384.766,0.384766,155.94
26330.078,414.062,0.414062,144.91
28109.375,1779.297,1.779297,33.72
28558.594,449.219,0.449219,133.57
29273.438,714.844,0.714844,83.93
30333.984,1060.547,1.060547,56.57
30794.922,460.938,0.460938,130.17
31160.156,365.234,0.365234,164.28
31560.547,400.391,0.400391,149.85
31923.828,363.281,0.363281,165.16
32382.812,458.984,0.458984,130.72
33677.734,1294.922,1.294922,46.33
34042.969,365.234,0.365234,164.28
35519.531,1476.562,1.476562,40.63
35894.531,375.0,0.375,160.0
36273.438,378.906,0.378906,158.35
37060.547,787.109,0.787109,76.23
37441.406,380.859,0.380859,157.54
37857.422,416.016,0.416016,144.23
38259.766,402.344,0.402344,149.13
38664.062,404.297,0.404297,148.41
39082.031,417.969,0.417969,143.55
39498.047,416.016,0.416016,144.23
39916.016,417.969,0.417969,143.55
40332.031,416.016,0.416016,144.23
40753.906,421.875,0.421875,142.22
41181.641,427.734,0.427734,140.27
41595.703,414.062,0.414062,144.91
42410.156,814.453,0.814453,73.67
42806.641,396.484,0.396484,151.33
43589.844,783.203,0.783203,76.61
43978.516,388.672,0.388672,154.37
44361.328,382.812,0.382812,156.73
45082.031,720.703,0.720703,83.25
45556.641,474.609,0.474609,126.42
45966.797,410.156,0.410156,146.29
46369.141,402.344,0.402344,149.13
46777.344,408.203,0.408203,146.99
47183.594,406.25,0.40625,147.69
47607.422,423.828,0.423828,141.57
48017.578,410.156,0.410156,146.29
48423.828,406.25,0.40625,147.69
48826.172,402.344,0.402344,149.13
49228.516,402.344,0.402344,149.13
49625.0,396.484,0.396484,151.33
50025.391,400.391,0.400391,149.85
