time_ms,rr_ms,rr_s,hr_bpm
994.141,500.0,0.5,120.0
1488.281,494.141,0.494141,121.42
1974.609,486.328,0.486328,123.37
2455.078,480.469,0.480469,124.88
2931.641,476.562,0.476562,125.9
3416.016,484.375,0.484375,123.87
3927.734,511.719,0.511719,117.25
4501.953,574.219,0.574219,104.49
5087.891,585.938,0.585938,102.4
5675.781,587.891,0.587891,102.06
6283.203,607.422,0.607422,98.78
6964.844,681.641,0.681641,88.02
7619.141,654.297,0.654297,91.7
8214.844,595.703,0.595703,100.72
8767.578,552.734,0.552734,108.55
9314.453,546.875,0.546875,109.71
9867.188,552.734,0.552734,108.55
10419.922,552.734,0.552734,108.55
10970.703,550.781,0.550781,108.94
11517.578,546.875,0.546875,109.71
12082.031,564.453,0.564453,106.3
12697.266,615.234,0.615234,97.52
13302.734,605.469,0.605469,99.1
13886.719,583.984,0.583984,102.74
14462.891,576.172,0.576172,104.14
15060.547,597.656,0.597656,100.39
15656.25,595.703,0.595703,100.72
16250.0,593.75,0.59375,101.05
16810.547,560.547,0.560547,107.04
17367.188,556.641,0.556641,107.79
17933.594,566.406,0.566406,105.93
18527.344,593.75,0.59375,101.05
19138.672,611.328,0.611328,98.15
19734.375,595.703,0.595703,100.72
20341.797,607.422,0.607422,98.78
20958.984,617.188,0.617188,97.22
21578.125,619.141,0.619141,96.91
22175.781,597.656,0.597656,100.39
22761.719,585.938,0.585938,102.4
23337.891,576.172,0.576172,104.14
23908.203,570.312,0.570312,105.21
24470.703,562.5,0.5625,106.67
25021.484,550.781,0.550781,108.94
25564.453,542.969,0.542969,110.5
26115.234,550.781,0.550781,108.94
26662.109,546.875,0.546875,109.71
27212.891,550.781,0.550781,108.94
27767.578,554.688,0.554688,108.17
28351.562,583.984,0.583984,102.74
28941.406,589.844,0.589844,101.72
29537.109,595.703,0.595703,100.72
30136.719,599.609,0.599609,100.07
30724.609,587.891,0.587891,102.06
31302.734,578.125,0.578125,103.78
31871.094,568.359,0.568359,105.57
32414.062,542.969,0.542969,110.5
32947.266,533.203,0.533203,112.53
33488.281,541.016,0.541016,110.9
34039.062,550.781,0.550781,108.94
34611.328,572.266,0.572266,104.85
35212.891,601.562,0.601562,99.74
35861.328,648.438,0.648438,92.53
36533.203,671.875,0.671875,89.3
37205.078,671.875,0.671875,89.3
37839.844,634.766,0.634766,94.52
38457.031,617.188,0.617188,97.22
39021.484,564.453,0.564453,106.3
39570.312,548.828,0.548828,109.32
40101.562,531.25,0.53125,112.94
40623.047,521.484,0.521484,115.06
41136.719,513.672,0.513672,116.81
41644.531,507.812,0.507812,118.15
42179.688,535.156,0.535156,112.12
42761.719,582.031,0.582031,103.09
43388.672,626.953,0.626953,95.7
44027.344,638.672,0.638672,93.94
44687.5,660.156,0.660156,90.89
45333.984,646.484,0.646484,92.81
45941.406,607.422,0.607422,98.78
46521.484,580.078,0.580078,103.43
47093.75,572.266,0.572266,104.85
47687.5,593.75,0.59375,101.05
48328.125,640.625,0.640625,93.66
49013.672,685.547,0.685547,87.52
49679.688,666.016,0.666016,90.09
50355.469,675.781,0.675781,88.79
51039.062,683.594,0.683594,87.77
51728.516,689.453,0.689453,87.03
