time_ms,rr_ms,rr_s,hr_bpm
1021.484,427.734,0.427734,140.27
1677.734,656.25,0.65625,91.43
2322.266,644.531,0.644531,93.09
3052.734,730.469,0.730469,82.14
3824.219,771.484,0.771484,77.77
4269.531,445.312,0.445312,134.74
6083.984,1814.453,1.814453,33.07
6685.547,601.562,0.601562,99.74
7283.203,597.656,0.597656,100.39
7707.031,423.828,0.423828,141.57
9242.188,1535.156,1.535156,39.08
9917.969,675.781,0.675781,88.79
10363.281,445.312,0.445312,134.74
10851.562,488.281,0.488281,122.88
11474.609,623.047,0.623047,96.3
12226.562,751.953,0.751953,79.79
13357.422,1130.859,1.130859,53.06
13855.469,498.047,0.498047,120.47
14613.281,757.812,0.757812,79.18
15044.922,431.641,0.431641,139.0
17208.984,2164.062,2.164062,27.73
18353.516,1144.531,1.144531,52.42
18771.484,417.969,0.417969,143.55
19148.438,376.953,0.376953,159.17
20130.859,982.422,0.982422,61.07
21005.859,875.0,0.875,68.57
21671.875,666.016,0.666016,90.09
22373.047,701.172,0.701172,85.57
22867.188,494.141,0.494141,121.42
23453.125,585.938,0.585938,102.4
24152.344,699.219,0.699219,85.81
24728.516,576.172,0.576172,104.14
25353.516,625.0,0.625,96.0
25982.422,628.906,0.628906,95.4
26623.047,640.625,0.640625,93.66
27890.625,1267.578,1.267578,47.33
31056.641,3166.016,3.166016,18.95
32267.578,1210.938,1.210938,49.55
32812.5,544.922,0.544922,110.11
36056.641,3244.141,3.244141,18.49
36582.031,525.391,0.525391,114.2
38031.25,1449.219,1.449219,41.4
39343.75,1312.5,1.3125,45.71
39835.938,492.188,0.492188,121.9
40742.188,906.25,0.90625,66.21
41316.406,574.219,0.574219,104.49
42007.812,691.406,0.691406,86.78
42697.266,689.453,0.689453,87.03
43320.312,623.047,0.623047,96.3
44164.062,843.75,0.84375,71.11
44828.125,664.062,0.664062,90.35
45404.297,576.172,0.576172,104.14
46074.219,669.922,0.669922,89.56
47214.844,1140.625,1.140625,52.6
49541.016,2326.172,2.326172,25.79
49923.828,382.812,0.382812,156.73
51492.188,1568.359,1.568359,38.26
52488.281,996.094,0.996094,60.24
53140.625,652.344,0.652344,91.98
53601.562,460.938,0.460938,130.17
54574.219,972.656,0.972656,61.69
55078.125,503.906,0.503906,119.07
55753.906,675.781,0.675781,88.79
58183.594,2429.688,2.429688,24.69
58875.0,691.406,0.691406,86.78
59648.438,773.438,0.773438,77.58
61431.641,1783.203,1.783203,33.65
62666.016,1234.375,1.234375,48.61
63986.328,1320.312,1.320312,45.44
64511.719,525.391,0.525391,114.2
65246.094,734.375,0.734375,81.7
66132.812,886.719,0.886719,67.67
66529.297,396.484,0.396484,151.33
66951.172,421.875,0.421875,142.22
67492.188,541.016,0.541016,110.9
68310.547,818.359,0.818359,73.32
68919.922,609.375,0.609375,98.46
70041.016,1121.094,1.121094,53.52
70789.062,748.047,0.748047,80.21
72267.578,1478.516,1.478516,40.58
72978.516,710.938,0.710938,84.4
74240.234,1261.719,1.261719,47.55
75558.594,1318.359,1.318359,45.51
76035.156,476.562,0.476562,125.9
76632.812,597.656,0.597656,100.39
77187.5,554.688,0.554688,108.17
77804.688,617.188,0.617188,97.22
78976.562,1171.875,1.171875,51.2
81830.078,2853.516,2.853516,21.03
84048.828,2218.75,2.21875,27.04
84841.797,792.969,0.792969,75.67
85748.047,906.25,0.90625,66.21
86533.203,785.156,0.785156,76.42
87138.672,605.469,0.605469,99.1
87751.953,613.281,0.613281,97.83
88621.094,869.141,0.869141,69.03
89785.156,1164.062,1.164062,51.54
90744.141,958.984,0.958984,62.57
91675.781,931.641,0.931641,64.4
92275.391,599.609,0.599609,100.07
93398.438,1123.047,1.123047,53.43
94138.672,740.234,0.740234,81.06
94556.641,417.969,0.417969,143.55
95046.875,490.234,0.490234,122.39
95470.703,423.828,0.423828,141.57
96109.375,638.672,0.638672,93.94
96765.625,656.25,0.65625,91.43
97433.594,667.969,0.667969,89.82
98228.516,794.922,0.794922,75.48
98746.094,517.578,0.517578,115.92
99572.266,826.172,0.826172,72.62
100021.484,449.219,0.449219,133.57
100892.578,871.094,0.871094,68.88
101656.25,763.672,0.763672,78.57
102119.141,462.891,0.462891,129.62
102691.406,572.266,0.572266,104.85
103134.766,443.359,0.443359,135.33
103929.688,794.922,0.794922,75.48
104699.219,769.531,0.769531,77.97
105291.016,591.797,0.591797,101.39
106087.891,796.875,0.796875,75.29
106759.766,671.875,0.671875,89.3
107685.547,925.781,0.925781,64.81
108093.75,408.203,0.408203,146.99
108628.906,535.156,0.535156,112.12
109646.484,1017.578,1.017578,58.96
110380.859,734.375,0.734375,81.7
111072.266,691.406,0.691406,86.78
111539.062,466.797,0.466797,128.54
